speedup 10000.00
duration 100000
DEBUG: 0.217795 customer 3 enters shop
DEBUG: 0.217797 customer 3 leaves shop
DEBUG: 0.217801 customer 4 enters shop
DEBUG: 0.217802 customer 4 leaves shop
DEBUG: 0.217804 customer 8 enters shop
DEBUG: 0.217805 customer 8 leaves shop
DEBUG: 0.219945 customer 3 enters shop
DEBUG: 0.219948 customer 3 leaves shop
DEBUG: 0.221022 customer 2 enters shop
DEBUG: 0.221024 customer 2 leaves shop
DEBUG: 0.221027 customer 4 enters shop
DEBUG: 0.221028 customer 4 leaves shop
DEBUG: 0.221030 customer 8 enters shop
DEBUG: 0.221030 customer 8 leaves shop
DEBUG: 0.222103 customer 3 enters shop
DEBUG: 0.222105 customer 3 leaves shop
DEBUG: 0.223169 customer 2 enters shop
DEBUG: 0.223174 customer 2 leaves shop
DEBUG: 0.223178 customer 4 enters shop
DEBUG: 0.223179 customer 4 leaves shop
DEBUG: 0.223181 customer 8 enters shop
DEBUG: 0.223182 customer 8 leaves shop
DEBUG: 0.224334 customer 3 enters shop
DEBUG: 0.224345 customer 3 leaves shop
DEBUG: 0.225830 customer 2 enters shop
DEBUG: 0.225835 customer 2 leaves shop
DEBUG: 0.225843 customer 4 enters shop
DEBUG: 0.225844 customer 4 leaves shop
DEBUG: 0.225849 customer 8 enters shop
DEBUG: 0.225851 customer 8 leaves shop
